row ID,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Row43163,Sale,13.9,20.7,3.2,3.0,3.1,ESE,26,WSW,SE,9,17,79,63,1022.6,1022.7,7,7,15.8,18.7,Yes,0
Row43164,Sale,11.1,19.6,0.0,2.4,0.2,ESE,24,W,E,9,7,88,64,1021.8,1020.7,6,8,16.1,18.8,No,0
Row43165,Sale,11.5,20.4,0.4,2.0,5.2,E,44,NNE,E,7,26,93,58,1023.6,1022.6,7,4,13.5,19.3,No,1
Row43166,Sale,7.7,23.1,2.0,2.8,6.6,E,41,ENE,E,11,30,69,44,1024.5,1020.2,1,1,16.8,20.2,Yes,0
Row43167,Sale,10.2,23.6,0.2,3.0,5.4,E,39,NE,E,7,28,97,51,1017.3,1013.6,6,7,14.7,22.0,No,1
Row43168,Sale,14.6,25.0,1.2,3.4,4.4,WSW,30,NE,SSW,13,9,82,62,1011.7,1008.3,3,8,18.9,23.3,Yes,0
Row43169,Sale,11.8,20.9,0.2,4.0,3.5,E,31,WSW,E,2,20,82,61,1017.0,1010.8,7,7,15.7,19.1,No,0
Row43170,Sale,9.2,22.7,0.0,2.6,2.0,WSW,37,W,WSW,9,24,87,61,1008.7,1005.7,7,8,15.1,20.2,No,0
Row43171,Sale,10.1,18.4,3.8,6.2,7.3,WNW,76,W,W,43,44,70,59,1012.8,1014.5,6,5,14.1,17.4,Yes,0
Row43172,Sale,9.4,18.4,0.0,3.6,8.1,W,44,W,W,28,30,64,52,1024.1,1021.9,4,3,14.6,18.2,No,0
Row43173,Sale,7.8,19.7,0.0,3.4,9.6,WSW,46,NW,WSW,13,26,74,58,1023.1,1020.5,6,6,13.1,17.9,No,0
Row43174,Sale,10.5,22.1,0.0,3.0,10.1,E,33,ENE,E,9,28,76,46,1026.5,1023.5,1,2,17.0,20.9,No,0
Row43175,Sale,7.6,25.9,0.0,2.6,7.8,E,26,WNW,E,7,15,84,36,1025.9,1022.5,5,6,15.1,25.6,No,0
Row43176,Sale,11.1,23.5,0.2,2.4,4.4,E,24,WNW,E,6,17,99,62,1025.4,1021.9,8,6,15.0,22.0,No,0
Row43177,Sale,12.6,27.5,0.2,2.0,4.0,NNE,41,NA,E,0,17,97,37,1022.1,1018.1,7,7,14.7,26.5,No,0
Row43178,Sale,13.0,28.6,0.8,1.4,6.3,WSW,33,WNW,WSW,7,13,99,52,1020.8,1016.9,8,6,15.3,25.5,No,0
Row43179,Sale,14.0,29.0,0.0,3.2,1.4,NW,48,SSW,NW,2,30,69,37,1014.7,1010.2,7,7,20.0,26.6,No,1
Row43180,Sale,9.0,18.2,0.0,4.2,5.4,NW,20,NW,WSW,9,11,76,39,,,7,6,12.6,17.8,No,0
Row43181,Sale,7.8,19.4,0.0,1.8,1.6,WNW,43,NNW,WSW,17,24,62,66,1016.2,1015.2,7,7,15.4,15.5,No,1
Row43182,Sale,5.2,18.8,1.2,1.6,2.8,WNW,56,WNW,NW,19,35,62,47,1016.6,1013.6,7,7,12.6,16.5,Yes,0
Row43183,Sale,9.5,18.9,0.0,3.8,3.3,W,31,WNW,NW,15,11,84,58,1027.6,1025.9,7,6,13.4,17.7,No,0
Row43184,Sale,3.0,22.3,0.0,1.8,9.9,NW,19,WNW,ENE,9,9,97,40,1024.8,1020.4,5,0,8.5,21.9,No,0
Row43185,Sale,6.7,19.1,0.0,2.8,9.0,E,37,ENE,E,7,30,83,63,1027.1,1020.8,6,7,13.2,18.2,No,0
Row43186,Sale,4.4,27.1,0.2,3.0,5.5,NW,61,ENE,NNW,13,26,80,44,1012.8,1006.5,3,7,14.9,22.9,No,0
Row43187,Sale,8.0,15.2,1.0,5.0,8.2,W,59,W,W,20,37,66,55,1013.5,1013.2,2,2,10.9,13.9,No,0
Row43188,Sale,8.8,17.4,0.0,3.0,6.9,WSW,50,W,W,30,33,90,46,1018.0,1019.1,7,3,12.1,16.5,No,0
Row43189,Sale,2.9,22.0,0.2,3.6,8.8,WNW,44,NW,WNW,11,19,95,39,1021.3,1017.4,3,3,10.1,21.5,No,0
Row43190,Sale,4.1,23.4,0.0,1.8,9.2,NA,,NW,NW,9,24,76,35,1017.6,1011.5,1,6,11.8,22.4,No,1
Row43191,Sale,6.6,12.4,3.4,2.6,4.1,W,59,WSW,W,17,31,91,68,1011.5,1012.9,8,5,7.8,11.8,Yes,1
Row43192,Sale,6.0,14.5,5.4,2.6,7.3,W,41,W,W,30,26,78,56,1021.5,1020.8,2,3,10.0,14.5,Yes,1
Row43193,Sale,8.4,17.0,2.4,1.0,8.1,W,35,WNW,WSW,19,15,90,64,1021.3,1018.0,3,6,11.1,15.4,Yes,0
